Description,Answer
It is the most common roofing material.,G.I. Sheet
G.I. sheet gauge that is specified for gutters and valley rolls.,Gauge 24
"These are tapered, semi-cylindrical roofing tiles laid convex side-up to overlap flanking, similar tiles laid concave side up. They are best suited for regions where rains might be infrequent but very heavy when they do occur.",Mission / Spanish Tile
"It a metal sheet that is roll formed into a metal panels that are round and wavy. It is low-cost, durable, light-weight, long-lasting, and easy to install.",Corrugated metal roofing
G.I. sheet gauge that is the most extensivelt used for roofing and various tin works.,Gauge 26
It is any of the various water-resistant materials laid on a roof to shed or drain rainwater.,Roofing
"Roofing that consists of clay or concrete units that overlap or interlock to create a strong textural pattern. They are fire-resistant, durable, and require little maintenance. Although expensive and heavy, they can last up to 100 years.",Tile Roofing
"These are roofing materials made out of natural hardwood, such as cedar. They are aesthetically pleasing but highly flammable.",Wood Shakes Shingles
It is a weather-resistant material placed between the roofing material and roof plywood sheathing.,Underlayment
"It is a roofing material made of 100% natural stone. It is extremely durable and fire-resistant but is expensive and extremely heavy. If installed and cared for properly, it can last for more than 100 years.",Slate Shingles
It is a strong layer of wood boards or structural panels that are attached to the roof's trussess and joists as a base for cladding or roofing.,Sheathing
"It is a metal roof with strong visual pattern of interlocking seams and articulated ridges and roof edges. It is fire-resistive, fully recyclable, and can last over 30 years.",Standing Seam Metal Roofing
It is a type of waterproof roofing material with an asphalt-impregnated felt base and tabs with self-sealing adhesives that make them wind-resistant. They typically come with an 20-30 year warranty.,Asphalt Composite Shingles
What is the maximum length of a long span roof?,12 Meters
A type of roofing tile made from earthen clays molded into rolled or interlocking shapes and fired for hardness. It is a very good roofing material for hot climates or where salt air is present.,Clay Tile
A roofing tile with an S-shaped cross section.,Pantile
"Glass formed by rolling molten glass into a plate, that is sub-sequently ground and polished after cooling. It provides virtually clear, undistorted vision.",Plate Glass
"Glass that has a thin layer of metallic or metallic oxide coating that reduces heat gain and glare from the outside while allowing visible light to enter. It gives the appearance of a one-way mirror, preventing visibility from the outside and thus preventing privacy.",Reflective Glass
"Glass that has a microscopically thin, transparent coating that reflects long-wave infrared energy (or heat). Its coating minimizes the amount of ultraviolet and infrared light that can pass through glass without compromising the amount of visible light that is transmitted.",Low-Emissivity Glass
Glass having one or both sides acid-etched or sandblasted to obscure vision.,Obscure Glass
"A type of safety glass that consists of two or more panes of flat glass bonded together by a layer of polyvinyl butyral resin (PVB). The PVB is the interlayer that holds the glass layers together, even when the glass breaks or impacted by a great force.",Laminated Glass
Glass having an irregular surface pattern formed in the rolling process to obscure vision or to diffuse light. It is also called textured glass or figured glass.,Patterned Glass
"It is a hard, brittle substance, typically transparent or translucent, produced by fusing silica together with a flux and a stabilizer into a mass that cools to a rigid condition without crystallization.",Glass
"Glass manufactured by pouring molten glass onto a surface or molten tin and allowing it to cool slowly. The resulting flat, parallel surfaces minimize distortion and eliminate the need for grinding and polishing.",Float Glass
"Glass in sheet form produced by drawing molten glass from a furnace or by the cylinder glass process. The fire-polished surfaces are not perfectly parallel, resulting in some distortion of vision.",Sheet Glass
Glass reinforced with wire mesh to make it more fire-resistant and durable as compared to float glass. It is a cheaper alternative to other safety glass such as laminated glass.,Wired Glass
"A type of safety glass that is reheated to just below the softening point and then rapidly cooled to induce compressive stresses int the surfaces and edges of the glass and tensile stresses in the interior. When it shatters, it breaks into relatively pebble-sized particles.",Tempered Glass
A glass unit that consists of two panes of glass separated by an inert gas such as argon and krypton to provide thermal insulation and restrict condensation.,Insulating Glass
"Glass that is cooled slowly to relieve internal stresses introduced during the manufacturing process. If it breaks, it results in long, sharp, jagged shards.",Annealed Glass
"This type of finish washes the cement/sand mixture off the top layer of the aggregate (usually gravel). This is often used in driveways, patios and other exterior surfaces.",Exposed Aggregate Finish
A solid flooring material made with chips of marble or other stone pieces set in a cementitious or resinous binder. It is used for floor and bases where durability and resistance to wear are necessary.,Terrazzo Finish
The Type of finish in which abrasive blasting technique is used to blast concrete away to expose the aggregate beneath it for a rough surface finish.,Sand-Blast Finish
This type of finish is obtained by pulling a brush over the surface of the fresh concrete after the surface has been leveled.,Brushed Finish
"An exterior finish consisting of Portland cement, sand mixed with water to form a workable plaster.",Stucco / Cement Plaster Finish
"A tile finish that is manufactured by pressing a plastic mixture of cement and sand in moulds. Common sizes are : 200mm x 200mm, 300mm x 300mm, and 400mm x 400mm",Cement Tile Finish
Tiles that are small surfacing units made from clay or a mixture of clay with other materials and fired according to various processes.,Ceramic Tile Finish
A resilient flooring made of neutral rubber for greatest resilience. It is usually used in gyms and other activity areas.,Rubber Tile / Sheet
"Flooring composed of long narrow wood strips usually side and end-matched. It is often laid over a concrete slab subfloor, nailed to 2x3 or 2x4 sleepers embedded or anchored to the concrete floor.",Strip Flooring
"Any of various floor coverings capable of springing back to the original form after being bent or compressed. It is available in either tile or sheet. Often found in healthcare and educational environments. Best Examples : vinyl tile, cork, linoleum and rubber flooring.",Resilent Floor Finish
"A resilient, waterproof floor covering made from all natural, renewable materials that consists of a backing covered with a relatively thick layer of wearing surface. It is recommended in areas where resilient, durable, colorfast, greaseproof, waterproof type of flooring is needed.",Linoleum Sheet
"A resilient floor covering composed principally of polyvinyl chloride in combination with mineral fillers. This type of flooring is tough, durable, easily maintained and is best for both light and heavy human traffic.",Vinyl Tile / Sheet
Flooring composed of square pieces or blocks which have been built up in several layers and having a veneered surface.,Parquet Tile Flooring
"Flooring composed of board wider than string flooring. It is 8 inches or more in width, and usually side-and-end matched.",Plank Flooring 
A type of finish that is used for ceiling and wall finishes in rooms where it is required to control sound by absorption.,Acoustic Tile
It is a thin layer of water-tight material that is laid over a surface by melting a tar based adhesive on the membrane using blowtorches.,Membrane Waterproofing
It is a powder or liquid form waterproofing compound added to the concrete mix at the batch paint or the job site.,Integral Waterproofing
"It is a flexible waterproofing membrane hand or spray applied onto surfaces such as balconies, podium decks and green roofs. It dries to form a seamless, smooth and continous barrier to water.",Liquid Waterproofing Membrane
